timestamp,pos_des_x,pos_des_y,pos_des_z,pos_cur_x,pos_cur_y,pos_cur_z,quat_x,quat_y,quat_z,quat_w,vel_des_x,vel_des_y,vel_des_z,vel_cur_x,vel_cur_y,vel_cur_z,fb_acc_x,fb_acc_y,fb_acc_z,cmd_acc_x,cmd_acc_y,cmd_acc_z,a_meas_x,a_meas_y,a_meas_z,a_meas_filt_x,a_meas_filt_y,a_meas_filt_z,indi_dist_x,indi_dist_y,indi_dist_z,mbff_drag_x,mbff_drag_y,mbff_drag_z,nn_pred_x,nn_pred_y,nn_pred_z
0.0224,-5.3,-1.5082010950559215e-08,1.0,-5.308056831359863,0.002004769165068865,0.9915608167648315,0.004516364748740855,-0.016985466416751208,-0.0017958772150491506,-0.9998439552525415,2.0262849492996343e-14,-2.6870222491444394e-06,0.0,-0.012138755060732365,0.011925345286726952,0.03706405684351921,0.39083057861621107,0.07667669866741114,0.0604414995538923,0.39083057861621107,0.07667669866741114,0.0604414995538923,-0.15560956597903172,-0.029774219056427763,-0.2532820897777024,-0.06663009118590328,0.025038447004132425,0.010886594216192633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333,-5.299999999999999,-7.341749761401144e-08,1.0,-5.308165073394775,0.0020085040014237165,0.9917641878128052,0.004516364748740855,-0.016985466416751208,-0.0017958772150491506,-0.9998439552525415,3.2283065084024624e-13,-8.79437903311581e-06,0.0,-0.007334494031965733,0.01140574924647808,0.04324871301651001,0.36263517932199507,0.07928647975340958,0.022496161923957064,0.36263517932199507,0.07928647975340958,0.022496161923957064,0.4409692587972689,-0.04769222141981793,0.5676717464329482,0.0832225146020234,0.0035670243468970356,0.175259747819471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0501,-5.299999999999965,-3.721933043758622e-07,1.0,-5.308474063873291,0.002044392516836524,0.9925337433815002,0.00502218356569927,-0.0171353946107056,-0.0014747182293961309,-0.9998394876865995,5.5181256766314485e-12,-2.9651934152253484e-05,0.0,-0.011371923610568047,0.01347219105809927,0.0422089584171772,0.3581188823206899,0.06368721671122766,-0.013866254064108713,0.3581188823206899,0.06368721671122766,-0.013866254064108713,0.06177965141439542,0.1422207472858995,0.3263198293179843,0.07689218946601488,0.044500137608952155,0.21985544488614228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0667,-5.29999999999966,-1.1666012029502322e-06,1.0,-5.30858850479126,0.002034824574366212,0.9927457571029663,0.004817685081090888,-0.017238731439264725,-0.001303728464987368,-0.9998389397775688,4.066167842722696e-11,-6.970964597737465e-05,0.0,-0.008676278404891491,0.009121830575168133,0.040955524891614914,0.3730875359013358,0.09009278399768075,0.03183835986948566,0.3730875359013358,0.09009278399768075,0.03183835986948566,-0.1429980412690155,-0.2807373887772675,-0.4667392454793341,0.011976574298176043,-0.05151592472566337,0.01716014302093652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0833,-5.299999999997986,-2.8377030154331015e-06,1.0,-5.308740615844727,0.0020093636121600866,0.993208110332489,0.004343593621438064,-0.017421697494095594,-0.0011799853177593919,-0.9998381811342957,1.9225677013677276e-10,-0.00013550168505370268,0.0,-0.007524667773395777,0.014264700934290886,0.04037337750196457,0.3670841877380542,0.057205649476277695,0.03324598427937872,0.3670841877380542,0.057205649476277695,0.03324598427937872,0.0690631132576245,0.30842250702397805,-0.034911896438324826,0.028829564001119808,0.054744479119794076,0.0017875252232172328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-5.299999999991437,-5.852664116647714e-06,1.0,-5.308924674987793,0.002029397524893284,0.9936365485191345,0.004646676877435967,-0.017795964143050364,-0.0009436257913103348,-0.9998304261141696,6.810453145092724e-10,-0.0002327300186488218,0.0,-0.006848194170743227,0.009799603372812271,0.03817472234368324,0.3640941141073417,0.08118757116004424,0.044507402199375296,0.3640941141073417,0.08118757116004424,0.044507402199375296,0.04067223717406574,-0.2684591184544373,-0.13219174216252633,0.03232573757683371,-0.04067113025428536,-0.03776560332191713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1167,-5.299999999970784,-1.0810301046029175e-05,1.0,-5.308985233306885,0.002016022801399231,0.9938210248947144,0.004646676877435967,-0.017795964143050364,-0.0009436257913103348,-0.9998304261141696,1.9890013742072707e-09,-0.0003679826057959437,0.0,-0.0035434009041637182,0.012416113168001175,0.037345584481954575,0.34471823580120586,0.062248184661103656,0.04876616669605824,0.34471823580120586,0.062248184661103656,0.04876616669605824,0.1979479845367726,0.15672170653338094,-0.04966306676187076,0.08122045204843646,0.01760284302303135,-0.04127795198588359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1333,-5.299999999915827,-1.834910043768404e-05,1.0,-5.309165954589844,0.002052487339824438,0.994175910949707,0.004510401628221071,-0.017530627341161016,-0.0009263877302693877,-0.9998357787639306,5.010220977928997e-09,-0.0005460999022522665,0.0,-0.01024689618498087,0.010132424533367157,0.03894432261586189,0.38599543421125737,0.07185418422242085,0.03759305493429452,0.38599543421125737,0.07185418422242085,0.03759305493429452,-0.4030172302775389,-0.13729641474951623,0.09611687450727442,-0.061735362453018854,-0.028126249050474124,-0.0007164879641854659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-5.299999999785736,-2.927553541236275e-05,1.0,-5.309431076049805,0.0020747692324221134,0.9949029684066772,0.00386349887005047,-0.01768940505621368,-0.0008070700021350201,-0.999835736617082,1.1324575764823879e-08,-0.0007736545620155186,0.0,-0.006645753979682922,0.016651179641485214,0.04558014124631882,0.36587167551380556,0.028059343345608445,-0.005687240811763555,0.36587167551380556,0.028059343345608445,-0.005687240811763555,0.21606564753025492,0.3911200844705748,0.39814380203416017,0.020276573216109747,0.09564293140108898,0.11703435983252998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1667,-5.299999999505915,-4.445603893064253e-05,1.0,-5.309496879577637,0.002093631774187088,0.99512779712677,0.0039329687301975684,-0.018063231797437122,-0.000890815790126136,-0.9998286980933807,2.347584227102329e-08,-0.0010561373811035783,0.0,-0.004320817533880472,0.011622418649494648,0.03989643603563309,0.35241002564338475,0.052882361251840204,0.027453402147276623,0.35241002564338475,0.052882361251840204,0.027453402147276623,0.13936872378303247,-0.30144996132215696,-0.34071070759907957,0.055434752776294595,-0.021586148416323586,-0.018100350531994575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1833,-5.299999998949705,-6.481651537089101e-05,1.0,-5.30958366394043,0.0020675098057836294,0.9955366849899292,0.003867116913577327,-0.018247611088782124,-0.0008525043048297925,-0.9998257056671365,4.5320458113199546e-08,-0.0013984231589763297,0.0,-0.0023902670945972204,0.009011633694171906,0.04023149237036705,0.3414211838459002,0.06271917218189453,0.02354735076960765,0.3414211838459002,0.06271917218189453,0.02354735076960765,0.11587291867156309,-0.15670104579570984,0.020110303587527367,0.07327720401022395,-0.06147453569211614,-0.006819867038740763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-5.299999997910658,-9.14186413182369e-05,1.0,-5.309667587280273,0.0020464228000491858,0.995853841304779,0.0032512283090101726,-0.018524479663550756,-0.0010180992726290699,-0.9998226289471951,8.255706375572882e-08,-0.0018061319328099602,0.0,-0.0033185244537889957,0.012219448573887348,0.0343489795923233,0.34757277827017097,0.0368801698893122,0.057394799618552955,0.34757277827017097,0.0368801698893122,0.057394799618552955,-0.05571621738558794,0.19254068863678644,-0.3530824264085061,0.03519598833037067,0.013515401305936987,-0.10904290339620695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2167,-5.299999996067118,-0.00012542538477259025,1.0,-5.30971097946167,0.0020307572558522224,0.9960278868675232,0.0032512283090101726,-0.018524479663550756,-0.0010180992726290699,-0.9998226289471951,1.432891544331749e-07,-0.002284850940042224,0.0,-0.0036331575829535723,0.009631889872252941,0.039590902626514435,0.34984155279172485,0.045011572461348584,0.02520550732439006,0.34984155279172485,0.045011572461348584,0.02520550732439006,-0.018868019104222068,-0.15517153945411913,0.31434930013439705,0.019235305178037742,-0.03628406679055693,0.015950213658526433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
