timestamp,pos_des_x,pos_des_y,pos_des_z,pos_cur_x,pos_cur_y,pos_cur_z,quat_x,quat_y,quat_z,quat_w,vel_des_x,vel_des_y,vel_des_z,vel_cur_x,vel_cur_y,vel_cur_z,fb_acc_x,fb_acc_y,fb_acc_z,cmd_acc_x,cmd_acc_y,cmd_acc_z,a_meas_x,a_meas_y,a_meas_z,a_meas_filt_x,a_meas_filt_y,a_meas_filt_z,indi_dist_x,indi_dist_y,indi_dist_z,mbff_drag_x,mbff_drag_y,mbff_drag_z,nn_pred_x,nn_pred_y,nn_pred_z
0.0231,-1.5,-5.652904565986156e-09,1.15,-1.4762283563613892,-0.01867298036813736,1.1774190664291382,0.0018532529053072492,-0.010362668692431234,0.00018215867926414832,-0.9999446019267856,2.764120268975574e-15,-9.779469073677419e-07,0.0,-0.020667796954512596,0.015010854229331017,-0.0507429838180542,0.0721654115462279,0.032340924961502863,-0.005066516487926914,0.24484371219662138,0.020764831274163884,-0.12029105718776109,-0.11356318910404892,-0.030419986719787517,-0.2635078227143107,-0.037340336379321944,0.04159551354067847,-0.12011228411295985,-0.17267830065039347,0.01157609368733898,0.11522454069983418,0.0,0.0,0.0,0.0,0.0,0.0
0.0339,-1.4999999999999998,-2.6279590702879268e-08,1.15,-1.4764587879180908,-0.01853315718472004,1.177116870880127,0.0016066912073404872,-0.011818005956957485,0.00015307735379163398,-0.9999289232991396,4.062994731685048e-14,-3.0921293848308634e-06,0.0,-0.022191246971488,0.015751980245113373,-0.053684912621974945,0.0822033423160906,0.027237231576417276,0.013508738417117944,0.25729808359923867,0.015533468870988812,-0.09929516133802378,-0.14068279392338176,0.06843918565609863,-0.2716720332452664,-0.0678489186933437,0.049520256185730666,-0.1648554921978274,-0.17509474128314806,0.011703762705428463,0.11280389975514173,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-1.4999999999999962,-1.2328156782025164e-07,1.15,-1.4766961336135864,-0.01838727295398712,1.1767948865890503,0.0016066912073404872,-0.011818005956957485,0.00015307735379163398,-0.9999289232991396,6.063763276414529e-13,-9.837258535283511e-06,0.0,-0.022177549079060555,0.0163264237344265,-0.055374376475811005,0.08293370966721611,0.02300038958057498,0.024394989562795705,0.26017777434926115,0.011158026748973376,-0.08603598192144414,0.0008531164154725666,0.03577683012844309,-0.10522124879352587,-0.047566822224285876,0.04546294561745175,-0.14725037357696566,-0.17724406468204507,0.011842362831601604,0.11043097148423985,0.0,0.0,0.0,0.0,0.0,0.0
0.0666,-1.4999999999999625,-3.8785423115348943e-07,1.15,-1.4771517515182495,-0.018047047778964043,1.1760978698730469,0.0009084568804061571,-0.011771871621450755,0.0001384523973583461,-0.9999303141451404,4.4974152645716336e-12,-2.3191265704108006e-05,0.0,-0.020199617370963097,0.021410301327705383,-0.05767970159649849,0.07296389584294456,-0.00943472830807094,0.0408432156998679,0.25148052935923937,-0.02304036537286233,-0.06698702777933876,0.11882900343765666,0.3054261709518012,-0.13849794993912484,0.0015562668192723589,0.1222088412272032,-0.14466649814620758,-0.17851663351629482,0.013605637064791391,0.10783024347920667,0.0,0.0,0.0,0.0,0.0,0.0
0.0833,-1.4999999999997768,-9.449106721286023e-07,1.15,-1.4775820970535278,-0.017598863691091537,1.1753554344177246,0.00042475725638186637,-0.011724420855472569,-0.0001804306584750069,-0.9999312413758077,2.132279646493477e-11,-4.513187774014338e-05,0.0,-0.0197189599275589,0.025095926597714424,-0.05981709063053131,0.07185712425285044,-0.03420383039935913,0.056532455197946585,0.2515136504381163,-0.050385497210848035,-0.048505021334369514,0.028768278739404664,0.22059180930534547,-0.12792687255629442,0.00958975010702506,0.15125329160356554,-0.13972465471270848,-0.17965652618526584,0.016181666811488905,0.1050374765323161,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-1.4999999999990479,-1.9515724696040997e-06,1.15,-1.4777977466583252,-0.0173674076795578,1.174957275390625,0.0004696482598575243,-0.012918453586131848,-0.0006375132305756752,-0.9999162792445864,7.571808491581306e-11,-7.759700046510427e-05,0.0,-0.020201653242111206,0.023596564307808876,-0.06197696179151535,0.07546172109512672,-0.026968809117172414,0.07065106873639529,0.2565009288486796,-0.044600168939702034,-0.03135807337852761,-0.02897903754490932,-0.09001590613056983,-0.12967030116084335,-0.0017964609508007287,0.080026214622436,-0.1367564257752403,-0.1810392077535529,0.01763135982252962,0.1020091421149229,0.0,0.0,0.0,0.0,0.0,0.0
0.1166,-1.4999999999967606,-3.59963337690243e-06,1.15,-1.4782613515853882,-0.016937747597694397,1.1740905046463013,3.3027324164409475e-05,-0.013611639510867982,-0.0012699688393301642,-0.9999065854694288,2.2059327286579714e-10,-0.00012256430017618382,0.0,-0.022359907627105713,0.022171219810843468,-0.06591114401817322,0.0903671724505921,-0.021371347310078122,0.0977874477648975,0.27357194761540204,-0.03965799598987487,-0.0003184058346120261,-0.12956767240145423,-0.08556849003807289,-0.2361829251710417,-0.039516857915838914,0.031139631141030757,-0.16610894566977227,-0.18320477516480996,0.01828664867979675,0.09810585359950953,0.0,0.0,0.0,0.0,0.0,0.0
0.1333,-1.4999999999906561,-6.113546289399986e-06,1.15,-1.478711485862732,-0.01652616076171398,1.1731818914413452,-0.0011021776255967738,-0.013255317541211233,-0.0018107550525734261,-0.9999099150704611,5.562431081936467e-10,-0.00018197068668818095,0.0,-0.018375234678387642,0.021526148542761803,-0.06606932729482651,0.06835540656694823,-0.020577855821144832,0.10250773562883572,0.2521762939416268,-0.039214511236739594,0.007731302103125837,0.23934424138597699,-0.03874699261041416,-0.009501471472761643,0.04280803549595967,0.01050782245328989,-0.11987555688575287,-0.18382088737467855,0.01863665541559476,0.09477643352570989,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-1.4999999999762217,-9.752610619245343e-06,1.15,-1.4789034128189087,-0.016322121024131775,1.172728419303894,-0.0011021776255967738,-0.013255317541211233,-0.0018107550525734261,-0.9999099150704611,1.2569584532147354e-09,-0.0002577686123794112,0.0,-0.01626383699476719,0.021959364414215088,-0.06630203872919083,0.0562952753130037,-0.025436647391292873,0.10541417434043798,0.24019689205349387,-0.044590104481296425,0.01362505498441724,0.12675469827956373,0.026007486653021498,-0.013970493516159505,0.06759062468907127,0.015083606620950115,-0.0886104464938755,-0.1839016167404902,0.01915345709000355,0.09178911935602074,0.0,0.0,0.0,0.0,0.0,0.0
0.1666,-1.499999999945178,-1.4808358409343377e-05,1.15,-1.4792271852493286,-0.015870865434408188,1.17179274559021,-0.0017208821664800628,-0.013298630672045763,-0.0023965119531779103,-0.9999073019658534,2.6052578618642597e-09,-0.0003518631558983678,0.0,-0.01357550173997879,0.025499362498521805,-0.06798291951417923,0.041437837237507325,-0.05040736583166289,0.11945112288560086,0.22477559246189563,-0.07132156148347545,0.0309429464250143,0.16123799280014872,0.21231808220843104,-0.10081400503346108,0.09523703939998723,0.07331082877751724,-0.09221316002592206,-0.1833377552243883,0.02091419565181256,0.08850817646058656,0.0,0.0,0.0,0.0,0.0,0.0
