timestamp,pos_des_x,pos_des_y,pos_des_z,pos_cur_x,pos_cur_y,pos_cur_z,quat_x,quat_y,quat_z,quat_w,vel_des_x,vel_des_y,vel_des_z,vel_cur_x,vel_cur_y,vel_cur_z,fb_acc_x,fb_acc_y,fb_acc_z,cmd_acc_x,cmd_acc_y,cmd_acc_z,a_meas_x,a_meas_y,a_meas_z,a_meas_filt_x,a_meas_filt_y,a_meas_filt_z,indi_dist_x,indi_dist_y,indi_dist_z,mbff_drag_x,mbff_drag_y,mbff_drag_z,nn_pred_x,nn_pred_y,nn_pred_z
0.0239,-1.5,-6.45E-09,1.15,-1.481250763,0.01173253,1.160024762,-0.003083596,-0.01367138,-0.001733963,-0.99990039,3.48E-15,-1.08E-06,0,-0.003279645,0.002976435,-0.0423057,-0.018935228,0.007285988,0.011062354,0.256496307,-0.057269859,0.008597328,0.016172262,0.030131314,-0.020094547,-0.012675809,0.01970733,0.020460566,-0.200151125,0.089592396,0.009967309,0,0,0,-0.075280409,-0.025036549,-0.007502283
0.0333,-1.5,-2.43E-08,1.15,-1.481258273,0.011763126,1.159874797,-0.002977139,-0.013630983,-0.002001048,-0.999900685,3.54E-14,-2.92E-06,0,-0.003858191,0.004748508,-0.043475863,-0.022282569,-0.004107217,0.013658047,0.253704437,-0.067619434,0.010604406,0,0,0,-0.008933679,0.013889366,0.014420233,-0.201572766,0.08910522,0.009810149,0,0,0,-0.07441424,-0.025593003,-0.006756507
0.05,-1.5,-1.23E-07,1.15,-1.481275916,0.011806938,1.159720063,-0.002977139,-0.013630983,-0.002001048,-0.999900685,6.04E-13,-9.82E-06,0,-0.004842893,0.00551339,-0.044066124,-0.013089974,-0.020264971,0.025419467,0.263119931,-0.083352434,0.022373033,-0.058970825,0.045806424,-0.035348949,-0.023705559,0.023311865,-0.000272539,-0.203210664,0.088912332,0.009372352,0,0,0,-0.072999241,-0.025824869,-0.006325918
0.0666,-1.5,-3.88E-07,1.15,-1.481319547,0.011927481,1.159385562,-0.00269946,-0.01412706,-0.002110925,-0.999894405,4.50E-12,-2.32E-05,0,-0.004101869,0.008161571,-0.044064354,-0.017629559,-0.037487635,0.026768249,0.258349913,-0.101415456,0.024136809,0.044425261,0.158761575,0.000106084,-0.003592096,0.063299095,-0.000160763,-0.20443336,0.089683666,0.008883162,0,0,0,-0.071546112,-0.025755845,-0.006251721
0.0833,-1.5,-9.45E-07,1.15,-1.481346965,0.012083677,1.159055948,-0.002544121,-0.014115708,-0.00213714,-0.999894911,2.13E-11,-4.51E-05,0,-0.004154699,0.008296131,-0.042815086,-0.02157334,-0.041826267,0.023817204,0.253228033,-0.106929361,0.021973342,0.036857827,0.030412687,0.03488949,0.008349461,0.053590427,0.010186713,-0.205378581,0.090465251,0.008556323,0,0,0,-0.069422792,-0.025362158,-0.006712461
0.1,-1.5,-1.95E-06,1.15,-1.481363416,0.012155434,1.158908486,-0.002873459,-0.013520013,-0.002148056,-0.999902202,7.57E-11,-7.76E-05,0,-0.003810458,0.007810954,-0.042107388,-0.019780753,-0.03852761,0.016807376,0.252643243,-0.104596363,0.015664494,0.020671901,-0.029135247,0.042497736,0.01198727,0.029168296,0.019725517,-0.206191897,0.090930267,0.008401244,0,0,0,-0.066232098,-0.024861513,-0.007258363
0.1166,-1.5,-3.60E-06,1.15,-1.481381178,0.012282328,1.158622146,-0.003636721,-0.013103841,-0.00217895,-0.999905195,2.20E-10,-0.000122509,0,-0.002357223,0.006523449,-0.040036567,-0.028721235,-0.03272909,0.005527134,0.241295804,-0.099352223,0.004086018,0.087312843,-0.077355529,0.124418511,0.034224756,-0.002279484,0.050632803,-0.206512383,0.090875401,0.008886653,0,0,0,-0.063504656,-0.024252268,-0.007445536
0.1333,-1.5,-6.11E-06,1.15,-1.481372476,0.012351356,1.158492446,-0.003636721,-0.013103841,-0.00217895,-0.999905195,5.56E-10,-0.000181962,0,-0.000452237,0.008570525,-0.0387071,-0.040505046,-0.046857736,-0.002084196,0.227507985,-0.114790329,-0.004263287,0.114320537,0.122847544,0.079782915,0.057870495,0.034660302,0.059238449,-0.206264121,0.091612893,0.00961639,0,0,0,-0.06174891,-0.0236803,-0.007437299
0.15,-1.5,-9.75E-06,1.15,-1.481310248,0.01254199,1.158299565,-0.004421346,-0.012964944,-0.002091074,-0.999904057,1.26E-09,-0.000257783,0,0.002007142,0.011316053,-0.034809299,-0.055883938,-0.066004759,-0.024783267,0.207988004,-0.136263059,-0.028852877,0.147554459,0.164722398,0.233854904,0.08434684,0.07305701,0.110788418,-0.205346867,0.093231697,0.011469567,0,0,0,-0.058525076,-0.022973397,-0.007399957
0.1672,-1.5,-1.50E-05,1.15,-1.481237888,0.012750753,1.158159375,-0.00475766,-0.012863308,-0.001851848,-0.99990431,2.67E-09,-0.000355468,0,0.000852327,0.009420821,-0.032841802,-0.049640371,-0.057700243,-0.036168744,0.208951032,-0.12949533,-0.042845434,-0.066958535,-0.109889404,0.114079478,0.039678728,0.019047885,0.111759999,-0.205124273,0.093955029,0.013525736,0,0,0,-0.05346713,-0.022159942,-0.006849046
0.1834,-1.5,-2.17E-05,1.15,-1.481217265,0.012831221,1.158090591,-0.004706879,-0.012589304,-0.001551678,-0.999908524,5.06E-09,-0.000467048,0,-4.49E-05,0.007680395,-0.032897808,-0.044664675,-0.049797181,-0.035751493,0.209116489,-0.122338938,-0.045118258,-0.055267628,-0.107201336,-0.003449684,0.011648828,-0.018223193,0.077747995,-0.205319446,0.094031511,0.015098648,0,0,0,-0.048461717,-0.021489753,-0.005731883
